AKT-V-000001	Бал был очень многолюден.
AKT-V-001594	— сказало оно.
AKT-V-001595	— Я вам дам своё кольцо, и вы завтра его наденете моему портрету на палец.
AKT-V-001596	Не правда ли, вы это сделаете для меня?
AKT-V-001597	Прасковья Андреевна обхватила его костяными руками, и он упал на подушки, лишённый чувств.
AKT-V-001598	Долго был болен Руневский, и почти всё время он не переставал бредить.
AKT-V-001599	Иногда он приходил в себя, но тогда мрачное отчаянье блистало в его глазах.
AKT-V-001600	Он был уверен в смерти Даши;
AKT-V-001601	и хотя он ни в чём не был виноват, но проклинал себя за то, что не мог её спасти.
AKT-V-001602	Лекарства, которые ему подносили, он с бешенством кидал далеко от себя, срывал перевязи с своей раны и часто приходил в такое исступление, что Яков боялся к нему подойти.
AKT-V-001603	Однажды страшный пароксизм только что миновался, природа взяла верх над отчаяньем, и он неприметно погружался в благодетельный сон, как ему показалось, что он слышит голос Даши.
AKT-V-001604	Он раскрыл глаза, но в комнате не было никого, и он вскоре заснул крепким сном.
AKT-V-001605	Во сне он был перенесён в виллу Урджина.
AKT-V-001606	Рыбаренко водил его по длинным залам и показывал ему места, где с ним случились те необыкновенные происшествия, которые он ему рассказывал.
AKT-V-001607	«Сойдём вниз по этой лестнице,
AKT-V-001608	— говорил Рыбаренко,
AKT-V-001609	— я вам покажу ту залу, куда Антонио ездил на грифоне».
AKT-V-001610	Они начали спускаться, но лестнице не было конца.
AKT-V-001611	Между тем воздух становился всё жарче и жарче, и Руневский заметил, как сквозь щели стен по обеим сторонам лестницы время от времени мелькал красный огонь.
AKT-V-001612	«Я хочу воротиться»,
AKT-V-001613	— говорил Руневский, но Рыбаренко дал ему заметить, что, по мере того как они подвигались вперёд, лестница за ними заваливалась огромными утёсами.
AKT-V-001614	«Нам нельзя воротиться,
AKT-V-001615	— говорил он,
AKT-V-001616	— надобно идти далее!»
AKT-V-001617	И они продолжали сходить вниз.
AKT-V-001618	Наконец ступени кончились, и они очутились перед большою медною дверью.
AKT-V-001619	Толстый швейцар молча её отворил, и несколько слуг в блестящих ливреях проводили их через переднюю;
AKT-V-001620	один лакей спросил, как об них доложить, и Руневский увидел, что у него из рта выходит огонь.
AKT-V-001621	Они вошли в ярко освещённую комнату, в которой толпа народа кружилась под шумную музыку.
AKT-V-001622	Далее стояли карточные столы, и за одним из них сидела бригадирша и облизывала свои кровавые губы;
AKT-V-001623	но Теляева не было с нею;
AKT-V-001624	вместо его напротив старухи сидело чёрное домино.
AKT-V-001625	«Ох!
AKT-V-001626	— вздыхала она,
AKT-V-001627	— скучно стало с этой чучелой!
AKT-V-001628	Когда-то к нам будет Семён Семёнович!»
AKT-V-001629	— и длинная огненная струя выбежала из её рта.
AKT-V-001630	Руневский хотел обратиться к Рыбаренке, но его уже не было;
AKT-V-001631	он находился один посреди незнакомых лиц.
AKT-V-001632	Вдруг из той комнаты, где танцевали, вышла Даша и подошла к нему.
AKT-V-001633	«Руневский,
AKT-V-001634	— сказала она,
AKT-V-001635	— зачем вы сюда пришли?
AKT-V-001636	Если они узнают, кто вы, то вам будет беда!»
AKT-V-001637	Руневскому сделалось страшно, он сам не знал отчего.
AKT-V-001638	«Следуйте за мной,
AKT-V-001639	— продолжала Даша,
AKT-V-001640	— я вас выведу отсюда, только не говорите ни слова, а то мы пропали».
AKT-V-001641	Он поспешно пошёл за нею, но она вдруг воротилась.
AKT-V-001642	«Постойте,
AKT-V-001643	— сказала она,
AKT-V-001644	— я вам покажу наш оркестр!»
AKT-V-001645	Даша подвела его к одной двери и, отворив её, сказала:
AKT-V-001646	«Посмотрите, вот наши музыканты».
AKT-V-001647	Руневский увидел множество несчастных, скованных цепями и объятых огнём.
AKT-V-001648	Чёрные дьяволы с козлиными лицами хлопотливо раздували огонь и барабанили по их головам раскалёнными молотками.
AKT-V-001649	Вопли, проклятия и стук цепей сливались в один ужасный гул, который Руневский сначала принял за музыку.
AKT-V-001650	Увидев его, несчастные жертвы протянули к нему длинные руки и завыли:
AKT-V-001651	«К нам!
AKT-V-001652	ступай к нам!»
AKT-V-001653	—
AKT-V-001654	«Прочь, прочь!»
AKT-V-001655	— закричала Даша и повлекла Руневского за собою в тёмный узкий коридор, в конце которого горела только одна лампа.
AKT-V-001656	Он слышал, как в зале всё заколыхалось.
AKT-V-001657	«Где он?
AKT-V-001658	где он?
AKT-V-001659	— блеяли голоса,
AKT-V-001660	— ловите его, ловите его!»
AKT-V-001661	—
AKT-V-001662	«За мной, за мной!»
AKT-V-001663	— кричала Даша, и он, запыхаясь, бежал за нею, а позади их множество копыт стучало по коридору.
AKT-V-001664	Она отворила боковую дверь и,
AKT-V-001665	— втащив в неё Руневского, захлопнула за собою.
AKT-V-001666	«Теперь мы спасены!»
AKT-V-001667	— сказала Даша и обняла его холодными костяными руками.
AKT-V-001668	Руневский увидел, что это не Даша, а Прасковья Андреевна.
AKT-V-001669	Он громко закричал и проснулся.
AKT-V-001670	Возле его постели стояли Даша и Владимир.
AKT-V-001671	— Я рад,
AKT-V-001672	— сказал Владимир, пожав ему руку,
AKT-V-001673	— что вы проснулись;
AKT-V-001674	вас тяготил неприятный сон, но мы боялись вас разбудить, чтоб вы не испугались.
AKT-V-001675	Доктор говорит, что наша рана не опасна, и никто ему за это так не благодарен, как я.
AKT-V-001676	Я бы никогда себе не простил, если б вы умерли.
AKT-V-001677	Простите же меня;
AKT-V-001678	я признаюсь, что погорячился!
AKT-V-001679	— Любезный друг!
AKT-V-001680	— сказала Даша, улыбаясь,
AKT-V-001681	— не сердись на Владимира;
AKT-V-001682	он предобрый человек, только немножко вспыльчив.
AKT-V-001683	Ты его непременно полюбишь, когда с ним короче познакомишься!
AKT-V-001684	Руневский не знал, верить ли ему своим глазам или нет.
AKT-V-001685	Но Даша стояла перед ним, он слышал её голос, в первый раз она ему говорила ты.
AKT-V-001686	С тех пор как он был болен, воображение столько раз его морочило, что понятия его совершенно смешались, и он не мог различить обмана от истины.
AKT-V-001687	Владимир заметил его недоверчивость и продолжал:
AKT-V-001688	— С тех пор как вы лежите в постеле, много произошло перемен.
AKT-V-001689	Сестра моя вышла замуж за Фрышкина и уехала в Симбирск;
AKT-V-001690	старая бригадирша… но я вам слишком много рассказываю;
AKT-V-001691	когда вам будет лучше, вы всё узнаете!
AKT-V-001692	— Нет, нет,
AKT-V-001693	— сказала Даша,
AKT-V-001694	— ему никогда не будет лучше, если он останется в недоумении.
AKT-V-001695	Ему надобно знать всё.
AKT-V-001696	Бабушка,
AKT-V-001697	— продолжала она, обратившись со вздохом к Руневскому,
AKT-V-001698	— уже два месяца, как скончалась!
AKT-V-001699	— Сама Даша,
AKT-V-001700	— прибавил Владимир,
AKT-V-001701	— была опасно больна и поправилась только после смерти Сугробиной.
AKT-V-001702	Постарайтесь и вы поскорей выздороветь, чтобы нам можно было сыграть свадьбу!
AKT-V-001703	Видя, что Руневский смотрит на них, ничего не понимая, Даша улыбнулась.
AKT-V-001704	— Самое главное,
AKT-V-001705	— сказала она,
AKT-V-001706	— мы и забыли ему сказать:
AKT-V-001707	тётушка согласна на наш брак и меня благословляет!
AKT-V-001708	Услыша эти слова, Руневский схватил Дашину руку, покрыл её поцелуями, обнял Владимира и спросил его, точно ли они дрались?
AKT-V-001709	— Я бы не думал,
AKT-V-001710	— отвечал, смеясь, Владимир,
AKT-V-001711	— что вы можете в этом сомневаться.
AKT-V-001712	— Но за что ж мы дрались?
AKT-V-001713	— спросил Руневский.
AKT-V-001714	— Признаюсь вам, я и сам не знаю, за что.
AKT-V-001715	Вы были совершенно правы, и сказать правду, я рад, что вы не женились на Софье.
AKT-V-001716	Скоро я сам увидел её неоткровенность и дурной нрав, особенно когда узнал, что из мщения к вам она пересказала Фрышкину, как вы над ним смеялись;
AKT-V-001717	но тогда уже было поздно, и вы лежали в постеле с простреленною грудью.
AKT-V-001718	Не люблю я Софьи;
AKT-V-001719	но, впрочем, Бог с нею!
AKT-V-001720	Желаю, чтобы она была счастлива с Фрышкиным, а мне до неё нет дела!
AKT-V-001721	— Как тебе не стыдно, Владимир,
AKT-V-001722	— сказала Даша,
AKT-V-001723	— ты забываешь, что она твоя сестра!
AKT-V-001724	— Сестра, сестра!
AKT-V-001725	— прервал её Владимир,
AKT-V-001726	— хороша сестра, по милости которой я чуть не убил даром человека и чуть не сделал несчастною тебя, которую люблю, уж верно, больше Софьи.
AKT-V-001727	Ещё месяца три протекли после этого утра.
AKT-V-001728	Руневский и Даша уже были обвенчаны.
AKT-V-001729	Они сидели вместе с Владимиром перед пылающим камином, и Даша, в красивом утреннем платье и в чепчике, разливала чай.
AKT-V-001730	Клеопатра Платоновна, уступившая ей эту должность, сидела молча у окошка и что-то работала.
AKT-V-001731	Взор Руневского нечаянно упал на портрет Прасковьи Андреевны.
AKT-V-001732	— До какой степени,
AKT-V-001733	— сказал он,
AKT-V-001734	— воображение может овладеть человеческим рассудком!
AKT-V-001735	Если б я не был уверен, что во время моей болезни оно непростительным образом меня морочило, я бы поклялся в истине странных видений, связанных с этим портретом.
AKT-V-001736	— История Прасковьи Андреевны в самом деле много имеет странного,
AKT-V-001737	— сказал Владимир.
AKT-V-001738	— Я никогда не мог добиться, как она умерла и кто был этот жених, пропавший так внезапно.
AKT-V-001739	Я уверен, что Клеопатра Платоновна знает все эти подробности, но не хочет нам их открыть!
AKT-V-001740	Клеопатра Платоновна, до этих пор ни на кого не обращавшая внимания, подняла глаза, и лицо её приняло выражение ещё горестнее обыкновенного.
AKT-V-001741	— Если бы,
AKT-V-001742	— сказала она,
AKT-V-001743	— смерть старой бригадирши не разрешала моей клятвы, а женитьба Руневского и Даши не разрушила страшной судьбы, обременявшей её семейство, вы бы никогда не узнали этой ужасной тайны.
AKT-V-001744	Но теперь обстоятельства переменились, и я могу удовлетворить вашему любопытству.
AKT-V-001745	Я подозреваю, об каких видениях говорит господин Руневский, и могу его уверить, что в этом случае он не должен обвинять своего воображения.
AKT-V-001746	Чтобы объяснить многие обстоятельства, для вас непонятные, я должна вам объявить, что Дашина бабушка, урождённая Островичева, происходит от древней венгерской фамилии, ныне уже угасшей, но известной в конце пятнадцатого столетия под именем Ostoroviczy.
AKT-V-001747	Герб её был:
AKT-V-001748	чёрная летучая мышь в красном поле.
AKT-V-001749	Говорят, что бароны Ostoroviczy хотели этим означать быстроту своих ночных набегов и готовность проливать кровь своих врагов.
AKT-V-001750	Враги эти назывались Tellara и, чтоб показать своё преимущество над прадедами бригадирши, приняли в герб свой филина, величайшего врага летучей мыши.
AKT-V-001751	Другие утверждают, что филин этот намекает на происхождение фамилии Tellara от рода Тамерлана, который также имел в гербу своём филина.
AKT-V-001752	Как бы то ни было, но обе фамилии вели беспрестанную войну одна с другою, и война эта долго бы не кончилась, если б измена и убийство не ускорили её развязки.
AKT-V-001753	Марфа Ostoroviczy, супруга последнего барона этого имени, женщина необыкновенной красоты, но жестокого сердца, пленилась наружностью и воинскою славой Амвросия Tellara, прозванного Амвросием с широким мечом.
AKT-V-001754	В одну ночь она впустила его в замок и с его помощью задушила мужа.
AKT-V-001755	Злодеяние её, однако, не осталось без наказания, ибо рыцарь Амвросий, видя замок Ostoroviczy в своей власти, последовал голосу врождённой ненависти и, потопив в Дунае всех приверженцев своего врага, предал его замок огню.
AKT-V-001756	Сама Марфа с трудом могла спастись.
AKT-V-001757	Все эти обстоятельства подробно рассказаны в древней хронике фамилии Ostoroviczy, которая находится здесь в библиотеке.
AKT-V-001758	Сказать вам, как и когда эта фамилия очутилась в России, я, право, не могу;
AKT-V-001759	но уверяю вас, что преступление Марфы было наказано почти на всех её потомках.
AKT-V-001760	Многие из них уже в России умерли насильственною смертью, другое сошли с ума, а наконец, тётушка бригадирши, та самая, коей вы видите пред собою портрет, будучи невестою ломбардского дворянина Пьетро д'Урджина…— Пьетро д'Урджина?
AKT-V-001761	— прервали Клеопатру Платоновну в один голос Руневский и Владимир.
AKT-V-001762	— Да,
AKT-V-001763	— отвечала она,
AKT-V-001764	— жених Прасковьи Андреевны назывался Дон Пьетро д'Урджина.
AKT-V-001765	Хотя это было давно, но я его хорошо помню.
AKT-V-001766	Он был человек уже не молодой и к тому ж вдовец;
AKT-V-001767	но большие чёрные глаза его так горели, как будто бы ему было не более лет двадцати.
AKT-V-001768	Прасковья Андреевна была молодая девушка, и учтивые приёмы ловкого иностранца легко её обворожили.
AKT-V-001769	Она страстно в него влюбилась.
AKT-V-001770	Мать её не имела той ненависти ко всему иностранному, которую покойная бригадирша, может быть, лишь для того так часто обнаруживала, чтобы тем лучше скрыть своё собственное происхождение.
AKT-V-001771	Она желала выдать дочь за дон Пьетро, ибо он был богат, приехал с большою свитой и жил как владетельный князь.
AKT-V-001772	К тому же он обещался навсегда поселиться в России и уступить ломбардские свои имения сыну, находившемуся тогда в городе Комо.
AKT-V-001773	Дон Пьетро привёз с собою множество отличных художников.
AKT-V-001774	Архитекторы его выстроили этот дом, живописцы и ваятели украсили его с истинно италиянским вкусом.
AKT-V-001775	Но, несмотря на необыкновенную роскошь дон Пьетро, многие замечали в нём черты самой отвратительной скупости.
AKT-V-001776	Когда он проигрывал в карты, лицо его видимо изменялось, он бледнел и дрожал;
AKT-V-001777	когда же он был в выигрыше, жадная улыбка показывалась на его устах и он с судорожным движением пальцев загребал добытое золото.
AKT-V-001778	Низкий его нрав, казалось, должен был переменить к нему расположение Прасковьи Андреевны и её матери, но он так хорошо умел притворяться перед ними обеими, что ни та, ни другая ничего не приметили, и день свадьбы был торжественно объявлен.
AKT-V-001779	Накануне он дал в своей новой даче блистательный ужин, и никогда его любезность не показывалась с таким блеском, как в этот вечер.
AKT-V-001780	Умный и живой разговор его занимал всё собрание, и все были в самом весёлом расположении духа, как хозяину дома подали письмо с иностранным клеймом.
AKT-V-001781	Прочитав содержание, он поспешно встал из-за стола и извинился перед обществом, говоря, что неожиданные дела непременно требуют его присутствия.
AKT-V-001782	В ту же ночь он уехал, и никто не знал, куда он скрылся.
AKT-V-001783	Невеста была в отчаянии.
AKT-V-001784	Мать её, употребив все средства, чтобы отыскать след жениха, начала приписывать поведение его одной уловке, чтобы отделаться от брака с её дочерью, тем более что дон Пьетро, несмотря на поспешность своего отъезда, успел оставить поверенному письменное наставление, как распорядиться с его домом и находящимися в нём вещами, из чего ясно можно было видеть, что дон Пьетро, если бы он только хотел, мог бы найти время уведомить Прасковью Андреевну о причине и назначении неожиданного своего путешествия.
AKT-V-001785	Прошло несколько месяцев, а о женихе всё ещё не было известия.
AKT-V-001786	Бедная невеста не переставала плакать и как похудела, что золотое кольцо, которое подарил ей дон Пьетро, само собой спало с её руки.
AKT-V-001787	Все уже потеряли надежду что-нибудь узнать о дон Пьетро, как мать Прасковьи Андреевны получила из Комо письмо, где её уведомляли, что жених вскоре по приезде своём из России скоропостижно умер.
AKT-V-001788	Письмо было от сына умершего.
AKT-V-001789	Но один дальний родственник невесты, только что приехавший из Неаполя, рассказывал, что в тот самый день, когда, по словам молодого Урджина, отец его скончался в Комо, он, родственник, сбираясь влезть на Везувий, видел в корчме местечка Torre del Greco двух путешественников, из коих один был в халате и в ночном колпаке, а другой в чёрном домино и маске.
AKT-V-001790	Оба путешественника спорили между собой:
AKT-V-001791	человеку в халате не хотелось идти далее, а человек в домино его торопил, говоря, что им ещё много дороги осталось до кратера и что на другой день праздник св.
AKT-V-001792	Антония.
AKT-V-001793	Наконец человек в домино схватил человека в халате и с исполинской силой потащил его за собой.
AKT-V-001794	Когда они скрылись, родственник спросил, кто эти чудаки?
AKT-V-001795	и ему отвечали, что один из них дон Пьетро д'Урджина, а другой какой-то англичанин, приехавший с ним нарочно, чтобы видеть извержение Везувия, и из странности никогда не снимающий с себя маски.
AKT-V-001796	Встреча эта, заключал родственник, ясно доказывает, что дон Пьетро не умер, а только отлучился на время из Комо в Неаполь.
AKT-V-001797	К несчастию, другие известия подтвердили справедливость письма молодого Урджина.
AKT-V-001798	Несколько очевидцев уверяли, что они присутствовали при погребении дон Пьетро, и божились, что сами видели, как гроб его опущен был в землю.
AKT-V-001799	Итак, не осталось сомнения в участи жениха Прасковьи Андреевны.
AKT-V-001800	Сын дон Пьетро, не желавший удалиться из Италии, поручил своему поверенному продать отцовскую дачу с публичного торга.
AKT-V-001801	Продажа состоялась довольно беспорядочно, и мать Прасковьи Андреевны купила Берёзовую Рощу за бесценок.
AKT-V-001802	Сколько Прасковья Андреевна сначала горевала и плакала, столько она теперь казалась спокойною.
AKT-V-001803	Её редко видали в покоях матери, но по целым дням она бродила в верхнем этаже из комнаты в комнату.
AKT-V-001804	Часто слуги, проходившие по коридору, слышали, как она сама с собой разговаривала.
AKT-V-001805	Любимое её занятие было
AKT-V-001806	— припоминать малейшие подробности своего знакомства с дон Пьетро, малейшие обстоятельства последнего вечера, который она с ним провела.
AKT-V-001807	Иногда она без всякой причины смеялась, иногда так жалобно стонала, что нельзя было её слышать без ужаса.
AKT-V-001808	В один вечер с ней сделались конвульсии, и не прошло двух часов, как она умерла в страшных мучениях.
AKT-V-001809	Все полагали, что она себя отравила, и, со всем почтением к памяти покойницы, нельзя не думать, что это предположение справедливо.
AKT-V-001810	Иначе что бы значили эти звуки, которые вскоре после её смерти начали раздаваться в её комнатах?
AKT-V-001811	Чему приписать эти шаги, вздохи и даже несвязные слова, которые я сама не раз слышала, когда в бурные осенние ночи беспрестанный стук окон не давал мне заснуть, а ветер свистел в трубы, как будто бы наигрывал какую-то жалобную песнь.
AKT-V-001812	Тогда волосы мои становились дыбом, зубы стучали один об другой, и я громко молилась за упокой бедной грешницы.
AKT-V-001813	— Но,
AKT-V-001814	— сказал Руневский, слушавший с возрастающим любопытством рассказ Клеопатры Платоновны,
AKT-V-001815	— можете ли вы нам сказать, какие именно слова произносила покойница?
AKT-V-001816	— Ах,
AKT-V-001817	— отвечала Клеопатра Платоновна,
AKT-V-001818	— в то время в словах её мне многое казалось странным.
AKT-V-001819	Смысл их всегда состоял в том, что ей до тех пор не будет покою, пока кто-нибудь не обручится с её портретом и не наденет ему на палец её собственного кольца.
AKT-V-001820	Слава Всевышнему, теперь желание её исполнилось, и ничто уже более не будет тревожить её праха.
AKT-V-001821	Кольцо, которым обручалась Даша, есть то самое, которое дон Пьетро подарил своей невесте;
AKT-V-001822	а разве Даша не живой портрет Прасковьи Андреевны?
AKT-V-001823	— Клеопатра Платоновна!
AKT-V-001824	— сказал Руневский после некоторого молчания,
AKT-V-001825	— вы не всё мне открыли.
AKT-V-001826	В этой истории о фамилии Ostoroviczy, от которой, как вы говорите, происходит покойная бригадирша, есть какая-то непостижимая тайна, окружающая меня с самого того времени, как я вступил в этот дом.
AKT-V-001827	Что делала Сугробина вместе с Теляевым в одну ночь, когда они оба перерядились, одна в красную мантию, другой в старинные латы?
AKT-V-001828	Всё это я считал сном или бредом моей горячки, но в вашем рассказе есть подробности, которые так хорошо соответствуют происшествиям той ужасной ночи, что их невозможно принять за игру воображения.
AKT-V-001829	Вы сами, Клеопатра Платоновна, присутствовали при каком-то страшном преступлении, от которого у меня осталось одно тёмное воспоминание, но коего главные участники были бригадирша и Семён Семёнович Теляев.
AKT-V-001830	Мне самому стыдно,
AKT-V-001831	— продолжал Руневский, видя, что все на него смотрят с удивлением,
AKT-V-001832	— мне самому стыдно, что я ещё думаю об этом.
AKT-V-001833	Рассудок мой говорит мне, что это бред, но это такой страшный бред, что я не могу не желать удостовериться в его ничтожности.
AKT-V-001834	— Что ж вы видели?
AKT-V-001835	— спросила Клеопатра Платоновна с беспокойством.
AKT-V-001836	— Я видел вас, видел Сугробину, Теляева и этого таинственного незнакомца в домино и в маске, который увлекал дон Пьетро д'Урджина в кратер Везувия и о котором мне уже рассказывал Рыбаренко.
AKT-V-001837	— Рыбаренко!
AKT-V-001838	— вскричал, смеясь, Владимир,
AKT-V-001839	— твой секундант!
AKT-V-001840	Ну, любезный Руневский, если он тебе рассказывал похождения свои в Комо, то я не удивляюсь, что это тебе вскружило голову.
AKT-V-001841	— Но ты сам и ещё этот Антонио, вы вместе с Рыбаренкой ночевали в чёртовом доме?
AKT-V-001842	— Так точно, и все трое мы видели Бог знает что во сне, с тою только разницею, что Антонио и я скоро обо всём забыли, а бедный Рыбаренко через несколько дней сошёл с ума.
AKT-V-001843	Впрочем, ему, надобно отдать справедливость, было от чего помешаться.
AKT-V-001844	Я сам не понимаю, как уцелел.
AKT-V-001845	Если бы я только знал, кто подмешал нам опиума в этот пунш, который мы пили, прежде нежели пошли в чёртов дом, он бы мне дорого заплатил за эту шутку.
AKT-V-001846	— Но Рыбаренко мне ни слова не говорил про пунш.
AKT-V-001847	— Оттого что он до сих пор не верит, что бред его был следствием пунша.
AKT-V-001848	Я ж в этом вполне уверен, ибо у меня от одного стакана закружилась голова, а Антонио начал шататься и даже упал на совершенно ровном месте.
AKT-V-001849	— Но ведь Антонио умер от последствий вашей шалости?
AKT-V-001850	— Правда, что он вскоре после неё умер, но правда и то, что он ещё прежде страдал неизлечимой хронической болезнию.
AKT-V-001851	— А кости, а череп ребёнка, а казнённый разбойник?
AKT-V-001852	— Не прогневайся, любезный Руневский, но в ответ на всё это я тебе скажу только, что Рыбаренко, которого я, впрочем, очень люблю, помешался в Комо со страха.
AKT-V-001853	Всё, что он видел во сне и наяву, всё это он смешал, перепутал и прикрасил по-своему.
AKT-V-001854	Потом он рассказал это тебе, а ты, будучи в горячке, всю его чепуху ещё более спутал и, сверх того, уверил себя в её истине.
AKT-V-001855	Руневский не довольствовался этим истолкованием.
AKT-V-001856	— Отчего же,
AKT-V-001857	— сказал он,
AKT-V-001858	— история этого дон Пьетро, в дом которого вы забрались ночью, смешана с историею Прасковьи Андреевны, в которой, однако, мне кажется, никто из вас не сомневается.
AKT-V-001859	Владимир пожал плечами.
AKT-V-001860	— Всё, что я тут вижу,
AKT-V-001861	— сказал он,
AKT-V-001862	— заключается в том, что дон Пьетро был жених Прасковьи Андреевны.
AKT-V-001863	Но из этого нисколько не следует, что он был унесён чёртом в Неаполь и что всё, что об нём снилось Рыбаренке, есть правда.
AKT-V-001864	— Но родственник Прасковьи Андреевны говорил о человеке в чёрном домино, Рыбаренко также говорил об этом человеке, и я сам готов побожиться, что видел его своими главами.
AKT-V-001865	Неужели бы три лица, не согласившись друг с другом, захотели сами себя обманывать?
AKT-V-001866	— На это я тебе скажу, что чёрное домино вещь такая обыкновенная, что о ней могли бы говорить не три, а тридцать человек, вовсе между собою не согласившись.
AKT-V-001867	Это всё равно, что плащ, карета, дерево или дом
AKT-V-001868	— предметы, которые несколько раз в день могут быть в устах каждого.
AKT-V-001869	Заметь, что согласие слов Рыбаренки с словами родственника состоит только в том, что они оба говорят о чёрном домино;
AKT-V-001870	но обстоятельства, в которых оно является у каждого из них, ничего не имеют между собою схожего.
AKT-V-001871	Что ж касается до твоего собственного видения, то воображение твоё просто воссоздало лицо, уже знакомое тебе по рассказам Рыбаренки.
AKT-V-001872	— Но я ничего не знал ни о фамилии Ostoroviczy, ни о фамилии Tellara, а между тем ясно видел на Сугробиной красное платье с летучей мышью, а на латах Теляева изображение филина.
AKT-V-001873	— А пророчество?
AKT-V-001874	— сказала Даша.
AKT-V-001875	— Ты разве забыл, что в первый день, когда ты сюда приехал, ты сам прочитал род баллады, в которой говорилось о Марфе и о рыцаре Амвросии, о филине и о летучей мыши.
AKT-V-001876	Только я не знаю, что может быть общего у Теляева с филином или с рыцарем Амвросием!
AKT-V-001877	— Эту балладу,
AKT-V-001878	— прибавила Клеопатра Платоновна,
AKT-V-001879	— извлёк Рыбаренко из старинной хроники, о которой я вам уже говорила, но после того, как вы её прочитали, Марфа Сергеевна мне приказала сжечь свою рукопись.
AKT-V-001880	— И после этого вы полагаете,
AKT-V-001881	— продолжал Руневский, обращать к Владимиру и к Даше,
AKT-V-001882	— что она была не упырь?
AKT-V-001883	— Как не упырь?
AKT-V-001884	— Что она не вампир?
AKT-V-001885	— Что ты, помилуй!
AKT-V-001886	отчего бабушке быть вампиром?
AKT-V-001887	— И Теляев не упырь?
AKT-V-001888	— Да что с тобой?
AKT-V-001889	С какой стати ты хочешь, чтобы все были упырями или вампирами?
AKT-V-001890	— Отчего ж он щёлкает?
AKT-V-001891	Даша и Владимир посмотрели друг на друга, и наконец Даша так чистосердечно захохотала, что она увлекла за собой и Владимира.
AKT-V-001892	Оба начали кататься со смеху, и когда одна переставала, другой начинал снова.
AKT-V-001893	Они смеялись так откровенно, что Руневский, сколько это ему ни казалось некстати, сам не мог удержаться от смеха.
AKT-V-001894	Одна Клеопатра Платоновна осталась по-прежнему печальною.
AKT-V-001895	Веселье Владимира и Даши, вероятно, ещё долго бы продолжалось, если б не вошёл Яков и не произнёс громогласно:
AKT-V-001896	«Семён Семёнович Теляев!»
AKT-V-001897	— Просить, просить!
AKT-V-001898	— сказала радостно Даша.
AKT-V-001899	— Упырь!
AKT-V-001900	— повторяла она, помирая со смеху,
AKT-V-001901	— Семён Семёнович упырь!
AKT-V-001902	Рыцарь Амвросий!
AKT-V-001903	Ха-ха-ха!
AKT-V-001904	В передней послышались шаги, и все замолчали.
AKT-V-001905	Дверь отворилась, и знакомая фигура старого чиновника представилась их очам.
AKT-V-001906	Коричневый парик, коричневый фрак, коричневые панталоны и никогда не изменяющаяся улыбка были отличительными чертами этой фигуры и тотчас бросались в глаза.
AKT-V-001907	— Здравия желаю, сударыня Дарья Александровна, моё почтение, Александр Андреевич!
AKT-V-001908	— сказал он сладким голосом, подходя к Даше и к Руновскому.
AKT-V-001909	— Душевно сожалею, что не мог ранее поздравить молодых супругов, но отлучка… семейные обстоятельства…Он начал неприятным образом щёлкать, всунул руку в карман и, вытащив из него золотую табакерку, поднёс её прежде Даше, а потом Руневскому, приговаривая:
